crime_id,date_time,day_of_week,crime_type,location,area,area_type,lga,latitude,longitude,weather_condition,is_holiday,time_period
392456de-3eb1-4b90-8668-5257bdd640fb,2024-10-29 16:06:44,Tuesday,Assault,Yaba,Ajeromi-Ifelodun,LGA,Ajeromi-Ifelodun,-60.1147925,-166.572454,Cloudy,0,Afternoon
0822e8f3-6c03-4199-972a-846916419f82,2023-10-07 09:30:30,Saturday,Theft,Surulere,Ibeju-Lekki,LGA,Ibeju-Lekki,-62.486662,112.791430,Clear,1,Morning
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,2023-07-14 03:47:36,Friday,Burglary,Victoria Island,Badagry,LGA,Badagry,-64.8488745,-62.619631,Stormy,0,Morning
386ecbe0-6b65-46a4-8b81-48f6b38a088c,2024-08-29 22:41:57,Thursday,Assault,Ikeja,Ajeromi-Ifelodun,LGA,Ajeromi-Ifelodun,-36.6249255,168.904049,Clear,0,Night
c241330b-01a9-471f-9e8a-774bcf36d58b,2024-06-03 22:11:47,Monday,Robbery,Surulere,Igbogbo/Bayeku,LCDA,Ikorodu,68.1798025,-30.647502,Stormy,0,Night
371ecd7b-27cd-4130-8722-9389571aa876,2025-03-07 21:53:33,Friday,Burglary,Victoria Island,Kosofe,LGA,Kosofe,-47.141780,46.889378,Stormy,0,Night
5be6128e-18c2-4797-a142-ea7d17be3111,2025-02-03 00:53:42,Monday,Kidnapping,Surulere,Eti-Osa East,LCDA,Eti-Osa,0.3539115,-125.126275,Stormy,0,Morning
bacfb3d0-0b1f-4163-8e9f-f57f43b7a3a6,2025-04-09 06:46:23,Wednesday,Theft,Ikeja,Orile-Agege,LCDA,Agege,2.329911,144.122944,Rainy,0,Morning
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,2024-06-11 20:38:00,Tuesday,Assault,Ikorodu,Agboyi-Ketu,LCDA,Kosofe,53.942632,-112.984465,Cloudy,0,Night
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,2024-08-22 19:06:58,Thursday,Robbery,Surulere,Orile-Agege,LCDA,Agege,-11.300556,157.498421,Cloudy,0,Evening
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,2024-09-11 10:57:25,Wednesday,Kidnapping,Yaba,Coker-Aguda,LCDA,Surulere,-38.3829255,-142.657862,Clear,0,Morning
47294739-614f-43d7-99db-3ad0ddd1dfb2,2024-01-31 18:54:56,Wednesday,Murder,Ajah,Imota,LCDA,Ikorodu,-68.581005,-55.021345,Cloudy,1,Evening
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,2024-06-07 04:30:49,Friday,Fraud,Ikeja,Olorunda,LCDA,Badagry,80.6402425,15.867784,Sunny,0,Morning
2bcfbe01-a28d-4fe3-9bf0-027312476f57,2024-11-22 13:18:13,Friday,Fraud,Yaba,Coker-Aguda,LCDA,Surulere,-18.333688,167.911349,Clear,0,Afternoon
fd5166e6-451b-4cf3-a123-fdf77656af72,2024-08-08 21:25:19,Thursday,Murder,Agege,Yaba,LCDA,Lagos Mainland,-24.2840675,-92.273955,Stormy,0,Night
d7c524a5-5304-417f-af42-e12f3838b326,2025-06-08 18:52:29,Sunday,Theft,Ajah,Ikosi-Isheri,LCDA,Kosofe,81.7986265,119.010119,Rainy,0,Evening
50c187fc-ce17-4b4e-8837-b8a3d261a7ab,2025-02-06 18:44:10,Thursday,Murder,Yaba,Alimosho,LGA,Alimosho,-74.9842715,-57.030753,Rainy,0,Evening
